2397	406万	45	45	2	860	1181
2398	395万	62	62	1	861	1272
2399	367万	50	50	1	861	1192
2400	360万	48	48	0	861	1202
2401	401万	58	58	2	861	1244
2402	415万	53	53	1	861	1339
2403	332万	47	47	1	861	1141
2404	394万	73	73	0	862	1350
2405	396万	43	43	2	862	1125
2406	365万	56	56	0	862	1258
2407	366万	54	54	0	862	1279
2408	400万	45	45	0	862	1238
2409	410万	64	64	0	862	1329
2410	464万	71	71	0	863	1301
2411	372万	66	66	0	863	1278
2412	402万	61	61	0	863	1296
2413	406万	65	65	0	863	1322
2414	359万	48	48	0	863	1227
2415	369万	58	58	0	864	1286
2416	368万	34	34	1	864	1179
2417	410万	55	55	0	864	1257
2418	414万	66	66	0	864	1310
2419	399万	67	67	1	864	1299
2420	399万	53	53	0	864	1263
2421	430万	64	64	0	864	1337
2422	416万	54	54	0	864	1280
2423	362万	47	47	3	864	1151
2424	481万	58	58	1	864	1375
2425	376万	56	56	0	864	1229
2426	363万	63	63	0	865	1241
2427	410万	63	63	0	865	1364
2428	386万	58	58	0	865	1330
2429	435万	61	61	0	865	1294
2430	376万	46	46	0	865	1215
2431	377万	50	50	0	865	1195
2432	451万	62	62	0	865	1320
2433	402万	42	42	2	865	1193
2434	366万	54	54	2	866	1239
2435	412万	66	66	0	866	1354
2436	399万	55	55	0	866	1226
2437	391万	50	50	0	866	1202
2438	395万	49	49	1	866	1248
2439	404万	62	62	0	866	1278
2440	390万	67	67	1	866	1245
2441	448万	67	67	0	866	1340
2442	368万	50	50	0	867	1267
2443	423万	71	71	0	867	1388
2444	367万	40	40	0	867	1181
2445	368万	45	45	0	867	1303
2446	393万	56	56	0	867	1265
2447	396万	50	50	0	867	1219
2448	373万	67	67	0	867	1342
2449	421万	63	63	2	867	1268
2450	371万	48	48	0	867	1214
2451	386万	63	63	0	867	1325
2452	452万	57	57	0	867	1290
2453	417万	51	51	1	868	1243
2454	388万	48	48	1	868	1255
2455	341万	73	73	0	868	1312
2456	377万	54	54	0	868	1293
2457	471万	64	64	0	868	1336
2458	357万	40	40	2	869	1171
2459	461万	58	58	0	869	1264
2460	420万	64	64	2	869	1315
2461	459万	54	54	0	869	1265
2462	417万	53	53	0	869	1214
2463	385万	50	50	0	869	1218
2464	456万	54	54	1	869	1359
2465	485万	67	67	0	869	1328
2466	424万	67	67	0	869	1361
2467	430万	54	54	0	869	1286
2468	372万	66	66	0	870	1263
2469	490万	65	65	1	870	1303
